project_id;is_winter_day;project_type;material_type;scope_category;surface_area_m2;num_levels;num_units;building_height_m;floor_area_ratio;planned_start_date;planned_end_date;expected_duration_days;corrected_start_date;corrected_end_date;num_site_visits;project_duration_days;actual_duration_days;month_started;quarter;season_flag;holiday_period_flag;total_project_hours;design_hours_total;avg_hours_per_employee;num_revisions
P-2022-001;0;Commercial;Steel;New Build - Mid Density;562;2;1;7.23;281.0;15/03/2022;22/04/2022;38;15/03/2022;21/04/2022;11;37;37;3;1;Spring;0;268.41;59.27;24.400.909.090.909.000;3
P-2022-002;0;Industrial;Steel;Complex Infrastructure;2239;2;1;6.93;1119.5;11/05/2022;21/08/2022;102;11/05/2022;25/08/2022;33;106;106;5;2;Spring;0;845.97;129.56;7.690.636.363.636.360;2
P-2022-003;0;Institutional;Steel;Complex Infrastructure;4339;5;1;26.95;867.8;15/06/2022;05/02/2023;235;15/06/2022;08/03/2023;114;266;266;6;2;Summer;1;2872.32;556.17;261.12;
P-2022-004;1;Institutional;Steel;Complex Infrastructure;3637;12;1;61.18;3.030.833.333.333.330;19/12/2022;15/07/2023;208;19/12/2022;16/07/2023;153;209;209;12;4;Winter;1;3846.77;7.884.399.999.999.990;3.497.063.636.363.630;1
P-2022-005;1;Residential;Mixed;New Build - Low Density;290;1;4;3.65;290.0;07/12/2022;22/12/2022;15;07/12/2022;23/12/2022;3;16;16;12;4;Winter;1;105.84;26.89;9.621.818.181.818.180;1
P-2022-006;0;Residential;Mixed;New Build - Low Density;115;1;6;2.74;115.0;24/05/2022;09/06/2022;16;24/05/2022;10/06/2022;2;17;17;5;2;Spring;0;58.37;16.74;729.625;
P-2022-007;0;Residential;Concrete;New Build - Low Density;402;3;2;9.65;134.0;28/09/2022;17/10/2022;19;28/09/2022;21/10/2022;11;23;23;9;3;Autumn;0;274.97;68.12;2.499.727.272.727.270;2
P-2022-008;0;Commercial;Wood;Tenant Improvement;1445;4;1;17.86;361.25;25/04/2022;12/06/2022;48;25/04/2022;16/06/2022;18;52;52;4;2;Spring;0;489.94;118.27;44.54;1
P-2022-009;0;Residential;Steel;New Build - Low Density;127;2;2;7.4;63.5;02/03/2022;24/03/2022;22;02/03/2022;24/03/2022;7;22;22;3;1;Spring;0;244.32;62.449.999.999.999.900;2.221.090.909.090.900;0
P-2022-010;1;Institutional;Concrete;Complex Infrastructure;3584;9;1;43.83;39.822.222.222.222.200;17/12/2022;26/07/2023;221;17/12/2022;21/08/2023;109;247;247;12;4;Winter;1;2749.1;566.58;2.499.181.818.181.810;2
P-2022-011;0;Industrial;Concrete;Complex Infrastructure;4411;1;1;3.97;4411.0;18/10/2022;23/04/2023;187;18/10/2022;07/05/2023;121;201;201;10;4;Autumn;1;3045.58;458.71;2.768.709.090.909.090;3
P-2022-012;0;Institutional;Steel;Complex Infrastructure;1486;12;1;61.1;12.383.333.333.333.300;26/06/2022;16/11/2022;143;26/06/2022;23/10/2022;20;119;119;6;2;Summer;0;518.64;91.28;4.714.909.090.909.090;2
P-2022-013;0;Residential;Mixed;New Build - Low Density;471;1;1;3.25;471.0;24/10/2022;17/11/2022;24;24/10/2022;18/11/2022;10;25;25;10;4;Autumn;1;272.63;77.89;24.784.545.454.545.400;1
P-2022-014;0;Residential;Concrete;New Build - Low Density;244;2;1;5.57;122.0;24/06/2022;15/07/2022;21;24/06/2022;14/07/2022;8;20;20;6;2;Summer;0;229.22;67.09;2.083.818.181.818.180;0
P-2022-015;0;Institutional;Wood;Complex Infrastructure;4483;10;1;47.84;448.3;09/07/2022;09/02/2023;215;09/07/2022;26/03/2023;210;260;260;7;3;Summer;1;5188.67;1045.15;4.716.972.727.272.720;2
P-2022-016;0;Residential;Wood;New Build - Low Density;368;1;1;3.02;368.0;10/10/2022;01/11/2022;22;10/10/2022;04/11/2022;3;25;25;10;4;Autumn;0;100.02;31.6;10.001.999.999.999.900;0
P-2022-017;0;Industrial;Concrete;Complex Infrastructure;1468;13;1;56.23;11.292.307.692.307.600;22/05/2022;16/10/2022;147;22/05/2022;04/11/2022;20;166;166;5;2;Spring;0;489.76;80.87;4.452.363.636.363.630;2
P-2022-018;1;Residential;Mixed;New Build - Low Density;505;2;3;6.67;252.5;27/01/2022;03/03/2022;35;27/01/2022;06/03/2022;7;38;38;1;1;Winter;0;194.19;59.25;17.653.636.363.636.300;3
P-2022-019;0;Industrial;Wood;Complex Infrastructure;1433;4;1;17.62;358.25;22/07/2022;19/09/2022;59;22/07/2022;25/09/2022;16;65;65;7;3;Summer;0;411.64;64.7;3.742.181.818.181.810;2
P-2022-020;1;Institutional;Wood;Complex Infrastructure;1070;6;1;37.66;17.833.333.333.333.300;17/12/2022;15/03/2023;88;17/12/2022;13/03/2023;54;86;86;12;4;Winter;1;1376.83;257.96;12.516.636.363.636.300;3
P-2022-021;0;Industrial;Concrete;Complex Infrastructure;4623;6;1;29.06;770.5;16/03/2022;19/10/2022;217;16/03/2022;03/11/2022;78;232;232;3;1;Spring;0;1934.32;297.82;17.584.727.272.727.200;1
P-2022-022;0;Commercial;Wood;New Build - Mid Density;740;4;1;17.76;185.0;01/08/2022;24/09/2022;54;01/08/2022;28/09/2022;16;58;58;8;3;Summer;0;418.1;102.25;3.800.909.090.909.090;0
P-2022-023;0;Industrial;Wood;Complex Infrastructure;3072;1;1;4.59;3072.0;14/10/2022;09/02/2023;118;14/10/2022;16/02/2023;99;125;125;10;4;Autumn;1;2533.94;383.33;23.035.818.181.818.100;0
P-2022-024;0;Commercial;Steel;New Build - Mid Density;1718;5;1;18.34;343.6;08/08/2022;08/10/2022;61;08/08/2022;25/10/2022;20;78;78;8;3;Summer;0;508.48;124.39;4.622.545.454.545.450;1
P-2022-025;0;Institutional;Wood;Complex Infrastructure;1657;12;1;42.24;13.808.333.333.333.300;22/09/2022;18/02/2023;149;22/09/2022;16/03/2023;103;175;175;9;3;Autumn;1;2548.68;539.33;2.316.981.818.181.810;1
P-2022-026;0;Commercial;Steel;Tenant Improvement;1595;7;1;28.73;22.785.714.285.714.200;23/05/2022;30/08/2022;99;23/05/2022;12/09/2022;21;112;112;5;2;Spring;0;555.37;136.8;5.048.818.181.818.180;0
P-2022-027;0;Institutional;Wood;Complex Infrastructure;2683;13;1;45.14;2.063.846.153.846.150;25/04/2022;21/12/2022;240;25/04/2022;11/01/2023;117;261;261;4;2;Spring;1;3014.6;605.06;27.405.454.545.454.500;1
P-2022-028;1;Commercial;Steel;New Build - Mid Density;1795;5;1;19.52;359.0;10/01/2022;30/03/2022;79;11/01/2022;12/04/2022;14;91;91;1;1;Winter;1;347.99;78.17;31.635.454.545.454.500;1
P-2023-001;0;Commercial;Mixed;New Build - Mid Density;1860;4;1;17.7;465.0;11/09/2023;27/11/2023;77;11/09/2023;05/12/2023;9;85;85;9;3;Autumn;1;251.81;61.76;2.289.181.818.181.810;2
P-2023-002;0;Commercial;Steel;New Build - Mid Density;1248;4;1;14.28;312.0;18/03/2023;12/05/2023;55;19/03/2023;15/05/2023;16;57;57;3;1;Spring;0;417.52;96.24;3.795.636.363.636.360;0
P-2023-003;0;Industrial;Mixed;Complex Infrastructure;2468;14;1;41.35;17.628.571.428.571.400;01/03/2023;14/09/2023;197;01/03/2023;10/10/2023;88;223;223;3;1;Spring;0;2234.76;361.31;20.316.000.000.000.000;2
P-2023-004;1;Institutional;Concrete;Complex Infrastructure;1678;13;1;59.5;12.907.692.307.692.300;03/01/2023;30/06/2023;178;03/01/2023;31/07/2023;120;209;209;1;1;Winter;1;3058.27;618.84;27.802.454.545.454.500;
P-2023-005;0;Residential;Mixed;New Build - Low Density;552;3;8;9.96;184.0;14/09/2023;22/10/2023;38;14/09/2023;24/10/2023;4;40;40;9;3;Autumn;0;120.65;36.86;10.968.181.818.181.800;1
P-2023-006;1;Institutional;Steel;Complex Infrastructure;4462;7;1;35.86;6.374.285.714.285.710;07/12/2023;25/06/2024;201;07/12/2023;29/06/2024;82;205;205;12;4;Winter;1;2040.68;420.54;18.551.636.363.636.300;0
P-2023-007;1;Commercial;Steel;New Build - Mid Density;1191;6;1;22.05;198.5;25/02/2023;06/05/2023;70;25/02/2023;15/05/2023;41;79;79;2;1;Winter;0;1076.78;280.01;9.788.909.090.909.090;2
P-2023-008;1;Residential;Concrete;New Build - Low Density;506;3;7;11.04;16.866.666.666.666.600;07/02/2023;30/03/2023;51;07/02/2023;02/04/2023;3;54;54;2;1;Winter;0;76.46;23.65;695.090.909.090.909;
P-2023-009;1;Commercial;Mixed;Tenant Improvement;811;3;1;9.63;2.703.333.333.333.330;02/12/2023;04/01/2024;33;02/12/2023;09/01/2024;26;38;38;12;4;Winter;1;678.22;163.36;61.656.363.636.363.600;1
P-2023-010;0;Residential;Mixed;New Build - Low Density;254;2;8;6.05;127.0;25/06/2023;23/07/2023;28;28/06/2023;18/07/2023;2;20;20;6;2;Summer;0;62.5;16.16;78.125;0
P-2023-011;0;Residential;Mixed;New Build - Low Density;106;2;2;6.79;53.0;05/08/2023;18/08/2023;13;05/08/2023;18/08/2023;8;13;13;8;3;Summer;0;222.27;65.06;20.206.363.636.363.600;
P-2023-012;0;Residential;Steel;New Build - Low Density;365;2;5;6.26;182.5;28/06/2023;26/07/2023;28;28/06/2023;28/07/2023;13;30;30;6;2;Summer;0;361.49;106.11;3.286.272.727.272.720;1
P-2023-013;0;Commercial;Concrete;New Build - Mid Density;1345;6;1;26.43;22.416.666.666.666.600;14/11/2023;10/01/2024;57;14/11/2023;09/01/2024;30;56;56;11;4;Autumn;1;731.08;183.02;6.646.181.818.181.810;2
P-2023-014;0;Residential;Concrete;New Build - Low Density;396;3;1;9.25;132.0;27/08/2023;02/10/2023;36;27/08/2023;07/10/2023;5;41;41;8;3;Summer;0;130.49;42.72;11.862.727.272.727.200;4
P-2023-015;0;Residential;Concrete;New Build - Low Density;140;3;7;8.13;46.666.666.666.666.600;24/03/2023;13/04/2023;20;24/03/2023;15/04/2023;13;22;22;3;1;Spring;0;398.49;109.8;3.622.636.363.636.360;1
